population,tier,case,p_m,defense_avoided,form,revenue_yr,energy_yr,fixed_yr,premium_yr,residual_el_yr,net_cession_yr,crossover_rent_yr,crossover_rate_tflops_hr,obs_over_crossover
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.001,0.0,insured,7.4,78.5,17.95,0.11,0.0,-89.2,96.6,0.02845,0.08
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.001,0.0,uninsured,7.4,78.5,17.95,0.11,0.26,-89.3,96.7,0.02849,0.08
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.001,100.0,insured,7.4,78.5,17.95,0.11,0.0,10.8,-3.4,-0.00101,
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.001,100.0,uninsured,7.4,78.5,17.95,0.11,0.26,10.7,-3.3,-0.00096,
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.01,0.0,insured,7.4,78.5,17.95,1.15,0.0,-90.2,97.6,0.02875,0.08
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.01,0.0,uninsured,7.4,78.5,17.95,1.15,2.55,-91.6,99.0,0.02916,0.07
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.01,100.0,insured,7.4,78.5,17.95,1.15,0.0,9.8,-2.4,-0.0007,
enterprise,iGPU_fungible_fp32,case3_hw_partition,0.01,100.0,uninsured,7.4,78.5,17.95,1.15,2.55,8.4,-1.0,-0.00029,
enterprise,iGPU_fungible_fp32,case4_new_silicon,1e-05,0.0,insured,7.4,78.5,19.75,0.0,0.0,-90.9,98.3,0.02894,0.08
enterprise,iGPU_fungible_fp32,case4_new_silicon,1e-05,0.0,uninsured,7.4,78.5,19.75,0.0,0.0,-90.9,98.3,0.02894,0.08
enterprise,iGPU_fungible_fp32,case4_new_silicon,1e-05,100.0,insured,7.4,78.5,19.75,0.0,0.0,9.1,-1.7,-0.00051,
enterprise,iGPU_fungible_fp32,case4_new_silicon,1e-05,100.0,uninsured,7.4,78.5,19.75,0.0,0.0,9.1,-1.7,-0.00051,
enterprise,iGPU_fungible_fp32,case4_new_silicon,0.001,0.0,insured,7.4,78.5,19.75,0.11,0.0,-91.0,98.4,0.02898,0.08
enterprise,iGPU_fungible_fp32,case4_new_silicon,0.001,0.0,uninsured,7.4,78.5,19.75,0.11,0.26,-91.1,98.5,0.02902,0.08
enterprise,iGPU_fungible_fp32,case4_new_silicon,0.001,100.0,insured,7.4,78.5,19.75,0.11,0.0,9.0,-1.6,-0.00048,
enterprise,iGPU_fungible_fp32,case4_new_silicon,0.001,100.0,uninsured,7.4,78.5,19.75,0.11,0.26,8.9,-1.5,-0.00043,
enterprise,iGPU_fungible_fp32,case4_new_silicon,0.01,0.0,insured,7.4,78.5,19.75,1.15,0.0,-92.0,99.4,0.02928,0.07
enterprise,iGPU_fungible_fp32,case4_new_silicon,0.01,0.0,uninsured,7.4,78.5,19.75,1.15,2.55,-93.4,100.8,0.02969,0.07
enterprise,iGPU_fungible_fp32,case4_new_silicon,0.01,100.0,insured,7.4,78.5,19.75,1.15,0.0,8.0,-0.6,-0.00017,
enterprise,iGPU_fungible_fp32,case4_new_silicon,0.01,100.0,uninsured,7.4,78.5,19.75,1.15,2.55,6.6,0.8,0.00024,9.04
enterprise,entry_1660_2060,case1_sameOS,1e-05,0.0,insured,123.0,283.9,8.5,1.28,0.0,-170.7,293.7,0.00466,0.47
enterprise,entry_1660_2060,case1_sameOS,1e-05,0.0,uninsured,123.0,283.9,8.5,1.28,4.83,-174.2,297.2,0.00471,0.46
enterprise,entry_1660_2060,case1_sameOS,1e-05,100.0,insured,123.0,283.9,8.5,1.28,0.0,-70.7,193.7,0.00307,0.71
enterprise,entry_1660_2060,case1_sameOS,1e-05,100.0,uninsured,123.0,283.9,8.5,1.28,4.83,-74.2,197.2,0.00313,0.7
enterprise,entry_1660_2060,case1_sameOS,0.001,0.0,insured,123.0,283.9,8.5,127.69,0.0,-297.1,420.1,0.00666,0.33
enterprise,entry_1660_2060,case1_sameOS,0.001,0.0,uninsured,123.0,283.9,8.5,127.69,285.0,-454.4,577.4,0.00915,0.24
enterprise,entry_1660_2060,case1_sameOS,0.001,100.0,insured,123.0,283.9,8.5,127.69,0.0,-197.1,320.1,0.00507,0.43
enterprise,entry_1660_2060,case1_sameOS,0.001,100.0,uninsured,123.0,283.9,8.5,127.69,285.0,-354.4,477.4,0.00757,0.29
enterprise,entry_1660_2060,case1_sameOS,0.01,0.0,insured,123.0,283.9,8.5,1276.92,0.0,-1446.3,1569.3,0.02488,0.09
enterprise,entry_1660_2060,case1_sameOS,0.01,0.0,uninsured,123.0,283.9,8.5,1276.92,2832.0,-3001.4,3124.4,0.04954,0.04
enterprise,entry_1660_2060,case1_sameOS,0.01,100.0,insured,123.0,283.9,8.5,1276.92,0.0,-1346.3,1469.3,0.0233,0.09
enterprise,entry_1660_2060,case1_sameOS,0.01,100.0,uninsured,123.0,283.9,8.5,1276.92,2832.0,-2901.4,3024.4,0.04795,0.05
enterprise,entry_1660_2060,case2_vm_nic,1e-05,0.0,insured,123.0,283.9,57.75,0.01,0.0,-218.6,341.6,0.00542,0.4
enterprise,entry_1660_2060,case2_vm_nic,1e-05,0.0,uninsured,123.0,283.9,57.75,0.01,0.05,-218.7,341.7,0.00542,0.4
enterprise,entry_1660_2060,case2_vm_nic,1e-05,100.0,insured,123.0,283.9,57.75,0.01,0.0,-118.6,241.6,0.00383,0.57
