seg,stratum,p3,p4,p3_frac_ai,p4_frac_ai,changed
nb_2024-03-28#t15996w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-03-28#t16099w2,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-07#t16123w0,A6-lexicon,AI,AI,1.0,1.0,0
nb_2024-05-07#t16143w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-07#t16172w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-07#t16227w1,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-09#t16460w0,A8-transition-fd,AI,AI,1.0,1.0,0
nb_2024-05-09#t16460w2,A8-transition-fd,AI,Mixed,1.0,0.5877110958099365,1
nb_2024-05-10#t16525w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-14#t16587w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-15#t16632w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-15#t16701w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-16#t16823w2,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-16#t16835w0,A7-speech-llr,AI,AI,1.0,1.0,0
nb_2024-05-16#t16835w1,A7-speech-llr,AI,AI,1.0,1.0,0
nb_2024-05-16#t16835w2,A7-speech-llr,Human,Human,0.0,0.0,0
nb_2024-05-16#t16835w3,A7-speech-llr,AI,Human,1.0,0.0,1
nb_2024-05-16#t16835w4,A7-speech-llr,Human,Mixed,0.0,0.42296651005744934,1
nb_2024-05-16#t16835w5,A6-lexicon,Human,Mixed,0.0,0.23764802515506744,1
nb_2024-05-16#t16835w6,A7-speech-llr,Human,Human,0.0,0.0,0
nb_2024-05-17#t16872w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-17#t16876w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-17#t16937w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-29#t17100w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-30#t17205w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-31#t17263w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-05-31#t17316w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-06-04#t17361w0,A6-lexicon,AI,AI,1.0,1.0,0
nb_2024-06-04#t17435w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-06-06#t17615w0,A6-lexicon,Human,Human,0.0,0.0,0
nb_2024-06-06#t17636w0,A6-lexicon,Human,Human,0.0,0.0,0
nb_2024-06-06#t17660w1,A8-transition-fd,AI,Human,1.0,0.0,1
nb_2024-06-06#t17660w2,Y-2024,Human,Human,0.0,0.0,0
nb_2024-06-07#t17680w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-06-07#t17720w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-06-07#t17772w2,Y-2024,Human,Human,0.0,0.0,0
nb_2024-11-20#t113w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-11-20#t59w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-11-22#t158w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-11-22#t169w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-11-22#t206w0,Y-2024,AI,Human,1.0,0.0,1
nb_2024-11-22#t207w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-11-22#t227w9,Y-2024,Human,Human,0.0,0.0,0
nb_2024-11-26#t246w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-11-26#t277w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-11-26#t295w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-11-27#t387w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-11-27#t430w2,Y-2024,Human,Human,0.0,0.0,0
nb_2024-11-28#t541w1,Y-2024,Human,Human,0.0,0.0,0
nb_2024-12-10#t567w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-12-10#t627w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-12-11#t719w2,Y-2024,Human,Human,0.0,0.0,0
nb_2024-12-11#t728w2,Y-2024,Human,Human,0.0,0.0,0
nb_2024-12-12#t831w5,Y-2024,Human,Mixed,0.0,0.46396633982658386,1
nb_2024-12-12#t842w5,Y-2024,Human,Human,0.0,0.0,0
nb_2024-12-13#t847w0,Y-2024,Mixed,Human,0.0,0.0,1
nb_2025-10-21#t2w6,B-decile-6,Human,Human,0.0,0.0,0
nb_2025-10-21#t4w1,B-decile-3,Human,Human,0.0,0.0,0
nb_2025-10-22#t100w0,B-decile-4,Human,Human,0.0,0.0,0
nb_2025-10-22#t102w1,A-consensus-2025,Human,Human,0.0,0.0,0
nb_2025-10-22#t102w16,B-decile-1,Human,Human,0.0,0.0,0
nb_2025-10-22#t18w0,A-consensus-2025,Human,Human,0.0,0.0,0
nb_2025-10-22#t22w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-10-22#t32w0,B-decile-1,Human,Human,0.0,0.0,0
nb_2025-10-22#t48w0,B-decile-1,Human,Human,0.0,0.0,0
nb_2025-10-22#t51w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-10-22#t81w0,B-decile-0,Human,Human,0.0,0.0,0
nb_2025-10-22#t93w0,A-consensus-2025,Human,Human,0.0,0.0,0
