test,true,pred,delta,kind
Hon. C. Chiasson#c0,Hon. C. Chiasson,Hon. Ms. Thériault,0.7254,loo-2025
Hon. C. Chiasson#c1,Hon. C. Chiasson,Mr. Hogan,0.8609,loo-2025
Hon. C. Chiasson#c2,Hon. C. Chiasson,Hon. C. Chiasson,0.72,loo-2025
Hon. C. Johnson#c0,Hon. C. Johnson,Hon. C. Johnson,0.7163,loo-2025
Hon. C. Johnson#c1,Hon. C. Johnson,Hon. C. Johnson,0.5779,loo-2025
Hon. C. Johnson#c2,Hon. C. Johnson,Hon. C. Johnson,0.6417,loo-2025
Hon. C. Johnson#c3,Hon. C. Johnson,Hon. C. Johnson,0.7164,loo-2025
Hon. C. Johnson#c4,Hon. C. Johnson,Hon. C. Johnson,0.7673,loo-2025
Hon. C. Johnson#c5,Hon. C. Johnson,Hon. C. Johnson,0.6356,loo-2025
Hon. C. Johnson#c6,Hon. C. Johnson,Mr. Russell,0.5908,loo-2025
Hon. C. Johnson#c7,Hon. C. Johnson,Hon. Ms. Boudreau,0.6526,loo-2025
Hon. Mr. Dornan#c0,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6273,loo-2025
Hon. Mr. Dornan#c1,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6602,loo-2025
Hon. Mr. Dornan#c2,Hon. Mr. Dornan,Hon. Mr. Dornan,0.5731,loo-2025
Hon. Mr. Dornan#c3,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6653,loo-2025
Hon. Mr. Dornan#c4,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6913,loo-2025
Hon. Mr. Dornan#c5,Hon. Mr. Dornan,Hon. Mr. Dornan,0.579,loo-2025
Hon. Mr. Dornan#c6,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6126,loo-2025
Hon. Mr. Dornan#c7,Hon. Mr. Dornan,Hon. Ms. Miles,0.6933,loo-2025
Hon. Mr. Dornan#c8,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6558,loo-2025
Hon. Mr. Dornan#c9,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6529,loo-2025
Hon. Mr. Dornan#c10,Hon. Mr. Dornan,Hon. Ms. Boudreau,0.6982,loo-2025
Hon. Mr. Dornan#c11,Hon. Mr. Dornan,Mr. Russell,0.7482,loo-2025
Hon. Mr. Dornan#c12,Hon. Mr. Dornan,Hon. Mr. Dornan,0.7427,loo-2025
Hon. Mr. Dornan#c13,Hon. Mr. Dornan,Hon. Mr. Dornan,0.7488,loo-2025
Hon. Mr. Dornan#c14,Hon. Mr. Dornan,Hon. Mr. McKee,0.7377,loo-2025
Hon. Mr. Dornan#c15,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6197,loo-2025
Hon. Mr. Dornan#c16,Hon. Mr. Dornan,Hon. Mr. Dornan,0.7651,loo-2025
Hon. Mr. Dornan#c17,Hon. Mr. Dornan,Hon. Mr. Dornan,0.5526,loo-2025
Hon. Mr. Dornan#c18,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6123,loo-2025
Hon. Mr. Dornan#c19,Hon. Mr. Dornan,Hon. Mr. Dornan,0.6286,loo-2025
Hon. Mr. D’Amours#c0,Hon. Mr. D’Amours,Hon. Ms. Thériault,0.6779,loo-2025
Hon. Mr. D’Amours#c1,Hon. Mr. D’Amours,Hon. Mr. D’Amours,0.62,loo-2025
Hon. Mr. D’Amours#c2,Hon. Mr. D’Amours,Hon. Mr. D’Amours,0.613,loo-2025
Hon. Mr. D’Amours#c3,Hon. Mr. D’Amours,Hon. Mr. D’Amours,0.685,loo-2025
Hon. Mr. D’Amours#c4,Hon. Mr. D’Amours,Hon. Mr. D’Amours,0.5822,loo-2025
Hon. Mr. D’Amours#c5,Hon. Mr. D’Amours,Mr. Johnston,0.763,loo-2025
Hon. Mr. Finnigan#c0,Hon. Mr. Finnigan,Mr. Russell,0.6412,loo-2025
Hon. Mr. Finnigan#c1,Hon. Mr. Finnigan,Hon. Mr. Finnigan,0.7141,loo-2025
Hon. Mr. Finnigan#c2,Hon. Mr. Finnigan,Hon. Mr. Finnigan,0.7466,loo-2025
Hon. Mr. Finnigan#c3,Hon. Mr. Finnigan,Hon. Mr. Finnigan,0.7005,loo-2025
Hon. Mr. Finnigan#c4,Hon. Mr. Finnigan,Mr. Ames,0.6997,loo-2025
Hon. Mr. Gauvin#c0,Hon. Mr. Gauvin,Hon. Mr. Gauvin,0.775,loo-2025
Hon. Mr. Gauvin#c1,Hon. Mr. Gauvin,Hon. Mr. Gauvin,0.707,loo-2025
Hon. Mr. Gauvin#c2,Hon. Mr. Gauvin,Hon. Mr. Gauvin,0.6833,loo-2025
Hon. Mr. Gauvin#c3,Hon. Mr. Gauvin,Hon. Mr. Gauvin,0.7261,loo-2025
Hon. Mr. Gauvin#c4,Hon. Mr. Gauvin,Hon. Mr. Gauvin,0.6621,loo-2025
Hon. Mr. Gauvin#c5,Hon. Mr. Gauvin,Hon. Mr. Gauvin,0.69,loo-2025
Hon. Mr. Herron#c0,Hon. Mr. Herron,Hon. Ms. Boudreau,0.6369,loo-2025
Hon. Mr. Herron#c1,Hon. Mr. Herron,Hon. Mr. Herron,0.5442,loo-2025
Hon. Mr. Herron#c2,Hon. Mr. Herron,Hon. Mr. Herron,0.652,loo-2025
Hon. Mr. Herron#c3,Hon. Mr. Herron,Hon. Mr. Herron,0.5928,loo-2025
Hon. Mr. Herron#c4,Hon. Mr. Herron,Hon. Mr. Herron,0.7007,loo-2025
Hon. Mr. Herron#c5,Hon. Mr. Herron,Hon. Mr. Herron,0.6637,loo-2025
Hon. Mr. Herron#c6,Hon. Mr. Herron,Hon. Mr. Herron,0.6142,loo-2025
Hon. Mr. Herron#c7,Hon. Mr. Herron,Hon. Mr. Herron,0.6758,loo-2025
Hon. Mr. Herron#c8,Hon. Mr. Herron,Hon. Mr. Herron,0.6847,loo-2025
Hon. Mr. Herron#c9,Hon. Mr. Herron,Hon. Ms. Boudreau,0.6058,loo-2025
Hon. Mr. Herron#c10,Hon. Mr. Herron,Ms. Bockus,0.5844,loo-2025
Hon. Mr. Hickey#c0,Hon. Mr. Hickey,Hon. Mr. Hickey,0.6761,loo-2025
Hon. Mr. Hickey#c1,Hon. Mr. Hickey,Hon. Mr. Hickey,0.6708,loo-2025
Hon. Mr. Hickey#c2,Hon. Mr. Hickey,Hon. Mr. Hickey,0.7411,loo-2025
Hon. Mr. Hickey#c3,Hon. Mr. Hickey,Hon. Mr. Hickey,0.7916,loo-2025
Hon. Mr. Hickey#c4,Hon. Mr. Hickey,Hon. Mr. Hickey,0.6335,loo-2025
Hon. Mr. Hickey#c5,Hon. Mr. Hickey,Hon. Mr. Hickey,0.7329,loo-2025
Hon. Mr. Hickey#c6,Hon. Mr. Hickey,Hon. Mr. Hickey,0.8221,loo-2025
Hon. Mr. Hickey#c7,Hon. Mr. Hickey,Hon. Mr. Hickey,0.6837,loo-2025
Hon. Mr. Hickey#c8,Hon. Mr. Hickey,Hon. Mr. Hickey,0.7099,loo-2025
Hon. Mr. Hickey#c9,Hon. Mr. Hickey,Hon. Mr. Hickey,0.7567,loo-2025
Hon. Mr. Hickey#c10,Hon. Mr. Hickey,Hon. Ms. Holt,0.7547,loo-2025
Hon. Mr. Hickey#c11,Hon. Mr. Hickey,Hon. Mr. Legacy,0.7327,loo-2025
Hon. Mr. Hickey#c12,Hon. Mr. Hickey,Hon. Mr. Hickey,0.7658,loo-2025
Hon. Mr. Hickey#c13,Hon. Mr. Hickey,Hon. Mr. Hickey,0.7198,loo-2025
Hon. Mr. Hickey#c14,Hon. Mr. Hickey,Hon. Mr. Hickey,0.7544,loo-2025
Hon. Mr. Kennedy#c0,Hon. Mr. Kennedy,Hon. Ms. Holt,0.7371,loo-2025
Hon. Mr. Kennedy#c1,Hon. Mr. Kennedy,Mr. Oliver,0.6785,loo-2025
Hon. Mr. Kennedy#c2,Hon. Mr. Kennedy,Mr. Doucet,0.6338,loo-2025
Hon. Mr. Kennedy#c3,Hon. Mr. Kennedy,Ms. Scott-Wallace,0.8337,loo-2025
Hon. Mr. LePage#c0,Hon. Mr. LePage,Hon. Mr. LePage,0.6607,loo-2025
Hon. Mr. LePage#c1,Hon. Mr. LePage,Hon. Mr. LePage,0.6471,loo-2025
Hon. Mr. LePage#c2,Hon. Mr. LePage,Mr. Johnston,0.6122,loo-2025
Hon. Mr. Legacy#c0,Hon. Mr. Legacy,Ms. Bockus,0.6868,loo-2025
Hon. Mr. Legacy#c1,Hon. Mr. Legacy,Ms. M. Johnson,0.7613,loo-2025
Hon. Mr. Legacy#c2,Hon. Mr. Legacy,Hon. Ms. Thériault,0.6782,loo-2025
Hon. Mr. Legacy#c3,Hon. Mr. Legacy,Hon. Mr. Legacy,0.6,loo-2025
Hon. Mr. Legacy#c4,Hon. Mr. Legacy,Mr. Austin,0.7652,loo-2025
Hon. Mr. Legacy#c5,Hon. Mr. Legacy,Mr. Hogan,0.7379,loo-2025
Hon. Mr. Legacy#c6,Hon. Mr. Legacy,Hon. Mr. Legacy,0.6505,loo-2025
Hon. Mr. Legacy#c7,Hon. Mr. Legacy,Hon. Mr. Legacy,0.5852,loo-2025
Hon. Mr. Legacy#c8,Hon. Mr. Legacy,Hon. Mr. Randall,0.7742,loo-2025
Hon. Mr. Legacy#c9,Hon. Mr. Legacy,Hon. Ms. Holt,0.6356,loo-2025
Hon. Mr. Legacy#c10,Hon. Mr. Legacy,Hon. Mr. Legacy,0.6572,loo-2025
Hon. Mr. Legacy#c11,Hon. Mr. Legacy,Hon. Mr. Legacy,0.8215,loo-2025
Hon. Mr. Legacy#c12,Hon. Mr. Legacy,Hon. Mr. Legacy,0.721,loo-2025
Hon. Mr. Legacy#c13,Hon. Mr. Legacy,Ms. M. Johnson,0.6921,loo-2025
Hon. Mr. Legacy#c14,Hon. Mr. Legacy,Mr. Hogan,0.801,loo-2025
Hon. Mr. Legacy#c15,Hon. Mr. Legacy,Mr. Johnston,0.6019,loo-2025
Hon. Mr. Legacy#c16,Hon. Mr. Legacy,Hon. Mr. Herron,0.6278,loo-2025
Hon. Mr. Legacy#c17,Hon. Mr. Legacy,Ms. Vautour,0.6529,loo-2025
Hon. Mr. Legacy#c18,Hon. Mr. Legacy,Hon. Mr. Legacy,0.5893,loo-2025
Hon. Mr. McKee#c0,Hon. Mr. McKee,Hon. Mr. Dornan,0.6085,loo-2025
Hon. Mr. McKee#c1,Hon. Mr. McKee,Hon. Mr. McKee,0.613,loo-2025
Hon. Mr. McKee#c2,Hon. Mr. McKee,Hon. Mr. McKee,0.6899,loo-2025
Hon. Mr. McKee#c3,Hon. Mr. McKee,Hon. Mr. McKee,0.5567,loo-2025
Hon. Mr. McKee#c4,Hon. Mr. McKee,Hon. Mr. McKee,0.6679,loo-2025
Hon. Mr. McKee#c5,Hon. Mr. McKee,Hon. Mr. McKee,0.7644,loo-2025
Hon. Mr. McKee#c6,Hon. Mr. McKee,Hon. Mr. Randall,0.6845,loo-2025
Hon. Mr. McKee#c7,Hon. Mr. McKee,Hon. Mr. McKee,0.6622,loo-2025
Hon. Mr. McKee#c8,Hon. Mr. McKee,Hon. Mr. McKee,0.5968,loo-2025
Hon. Mr. McKee#c9,Hon. Mr. McKee,Hon. Mr. D’Amours,0.7158,loo-2025
Hon. Mr. McKee#c10,Hon. Mr. McKee,Hon. Mr. McKee,0.6243,loo-2025
Hon. Mr. McKee#c11,Hon. Mr. McKee,Hon. Mr. McKee,0.5609,loo-2025
Hon. Mr. McKee#c12,Hon. Mr. McKee,Hon. Mr. McKee,0.6224,loo-2025
Hon. Mr. McKee#c13,Hon. Mr. McKee,Hon. Mr. McKee,0.6366,loo-2025
Hon. Mr. McKee#c14,Hon. Mr. McKee,Hon. Mr. McKee,0.6232,loo-2025
Hon. Mr. McKee#c15,Hon. Mr. McKee,Hon. Mr. McKee,0.7952,loo-2025
Hon. Mr. Randall#c0,Hon. Mr. Randall,Hon. Mr. Randall,0.6758,loo-2025
Hon. Mr. Randall#c1,Hon. Mr. Randall,Hon. Mr. Randall,0.645,loo-2025
Hon. Mr. Randall#c2,Hon. Mr. Randall,Ms. M. Wilson,0.6778,loo-2025
Hon. Mr. Randall#c3,Hon. Mr. Randall,Hon. Mr. Randall,0.6696,loo-2025
Hon. Mr. Randall#c4,Hon. Mr. Randall,Hon. Mr. Randall,0.6304,loo-2025
Hon. Mr. Randall#c5,Hon. Mr. Randall,Hon. Mr. D’Amours,0.5803,loo-2025
Hon. Mr. Randall#c6,Hon. Mr. Randall,Hon. Mr. Randall,0.6194,loo-2025
Hon. Ms. Boudreau#c0,Hon. Ms. Boudreau,Hon. Ms. Boudreau,0.5962,loo-2025
Hon. Ms. Boudreau#c1,Hon. Ms. Boudreau,Mr. J. LeBlanc,0.6266,loo-2025
Hon. Ms. Boudreau#c2,Hon. Ms. Boudreau,Hon. Ms. Boudreau,0.5513,loo-2025
Hon. Ms. Boudreau#c3,Hon. Ms. Boudreau,Hon. Ms. Boudreau,0.6588,loo-2025
Hon. Ms. Boudreau#c4,Hon. Ms. Boudreau,Hon. Ms. Boudreau,0.5498,loo-2025
Hon. Ms. Boudreau#c5,Hon. Ms. Boudreau,Hon. Ms. Boudreau,0.5319,loo-2025
Hon. Ms. Holt#c0,Hon. Ms. Holt,Hon. Ms. Holt,0.8825,loo-2025
Hon. Ms. Holt#c1,Hon. Ms. Holt,Hon. Ms. Holt,0.6781,loo-2025
Hon. Ms. Holt#c2,Hon. Ms. Holt,Hon. Ms. Holt,0.6992,loo-2025
Hon. Ms. Holt#c3,Hon. Ms. Holt,Hon. Ms. Holt,0.5894,loo-2025
Hon. Ms. Holt#c4,Hon. Ms. Holt,Hon. Ms. Holt,0.6829,loo-2025
Hon. Ms. Holt#c5,Hon. Ms. Holt,Hon. Mr. Hickey,0.6861,loo-2025
Hon. Ms. Holt#c6,Hon. Ms. Holt,Hon. Ms. Holt,0.7986,loo-2025
Hon. Ms. Holt#c7,Hon. Ms. Holt,Hon. Ms. Holt,0.6675,loo-2025
Hon. Ms. Holt#c8,Hon. Ms. Holt,Hon. Ms. Holt,0.7513,loo-2025
Hon. Ms. Holt#c9,Hon. Ms. Holt,Hon. Ms. Holt,0.6542,loo-2025
Hon. Ms. Holt#c10,Hon. Ms. Holt,Hon. Ms. Holt,0.7251,loo-2025
Hon. Ms. Holt#c11,Hon. Ms. Holt,Mr. Johnston,0.6155,loo-2025
Hon. Ms. Holt#c12,Hon. Ms. Holt,Mr. Doucet,0.6397,loo-2025
Hon. Ms. Holt#c13,Hon. Ms. Holt,Hon. Ms. Holt,0.6289,loo-2025
Hon. Ms. Holt#c14,Hon. Ms. Holt,Hon. Mr. McKee,0.7267,loo-2025
Hon. Ms. Holt#c15,Hon. Ms. Holt,Mr. Johnston,0.6452,loo-2025
Hon. Ms. Holt#c16,Hon. Ms. Holt,Mr. M. LeBlanc,0.6878,loo-2025
Hon. Ms. Holt#c17,Hon. Ms. Holt,Hon. Mr. Legacy,0.8456,loo-2025
Hon. Ms. Holt#c18,Hon. Ms. Holt,Hon. Ms. Holt,0.6179,loo-2025
Hon. Ms. Holt#c19,Hon. Ms. Holt,Hon. Ms. Holt,0.6968,loo-2025
Hon. Ms. Holt#c20,Hon. Ms. Holt,Hon. Mr. Dornan,0.7106,loo-2025
Hon. Ms. Holt#c21,Hon. Ms. Holt,Hon. Ms. Holt,0.6587,loo-2025
Hon. Ms. Holt#c22,Hon. Ms. Holt,Hon. Ms. Holt,0.7261,loo-2025
Hon. Ms. Holt#c23,Hon. Ms. Holt,Hon. Ms. Holt,0.7005,loo-2025
Hon. Ms. Holt#c24,Hon. Ms. Holt,Hon. Ms. Holt,0.6378,loo-2025
Hon. Ms. Holt#c25,Hon. Ms. Holt,Hon. Ms. Holt,0.6634,loo-2025
Hon. Ms. Holt#c26,Hon. Ms. Holt,Hon. Ms. Holt,0.677,loo-2025
Hon. Ms. Holt#c27,Hon. Ms. Holt,Hon. Ms. Holt,0.7886,loo-2025
Hon. Ms. Holt#c28,Hon. Ms. Holt,Hon. Ms. Holt,0.6559,loo-2025
Hon. Ms. Holt#c29,Hon. Ms. Holt,Hon. Ms. Holt,0.7368,loo-2025
Hon. Ms. Holt#c30,Hon. Ms. Holt,Hon. Ms. Holt,0.7188,loo-2025
Hon. Ms. Holt#c31,Hon. Ms. Holt,Hon. Ms. Boudreau,0.6675,loo-2025
Hon. Ms. Holt#c32,Hon. Ms. Holt,Hon. Ms. Holt,0.7044,loo-2025
Hon. Ms. Miles#c0,Hon. Ms. Miles,Hon. Mr. Dornan,0.6396,loo-2025
Hon. Ms. Miles#c1,Hon. Ms. Miles,Hon. Mr. McKee,0.6299,loo-2025
Hon. Ms. Miles#c2,Hon. Ms. Miles,Hon. Ms. Miles,0.6449,loo-2025
Hon. Ms. Miles#c3,Hon. Ms. Miles,Mr. Russell,0.7509,loo-2025
Hon. Ms. Miles#c4,Hon. Ms. Miles,Hon. Ms. Miles,0.8191,loo-2025
Hon. Ms. Miles#c5,Hon. Ms. Miles,Mr. Russell,0.6849,loo-2025
Hon. Ms. Miles#c6,Hon. Ms. Miles,Hon. Mr. McKee,0.7423,loo-2025
Hon. Ms. Miles#c7,Hon. Ms. Miles,Ms. Vautour,0.6517,loo-2025
Hon. Ms. Miles#c8,Hon. Ms. Miles,Hon. C. Johnson,0.7321,loo-2025
Hon. Ms. Thériault#c0,Hon. Ms. Thériault,Hon. Ms. Thériault,0.5148,loo-2025
Hon. Ms. Thériault#c1,Hon. Ms. Thériault,Hon. Ms. Thériault,0.6205,loo-2025
Hon. Ms. Thériault#c2,Hon. Ms. Thériault,Hon. Ms. Boudreau,0.5626,loo-2025
Hon. Ms. Thériault#c3,Hon. Ms. Thériault,Hon. Ms. Thériault,0.5841,loo-2025
Mr. Ames#c0,Mr. Ames,Mr. Cullins,0.7474,loo-2025
Mr. Ames#c1,Mr. Ames,Mr. Ames,0.6139,loo-2025
Mr. Ames#c2,Mr. Ames,Mr. Coon,0.5192,loo-2025
Mr. Ames#c3,Mr. Ames,Ms. Bockus,0.6108,loo-2025
Mr. Ames#c4,Mr. Ames,Mr. Coon,0.656,loo-2025
Mr. Ames#c5,Mr. Ames,Mr. Russell,0.6567,loo-2025
Mr. Ames#c6,Mr. Ames,Ms. Bockus,0.5646,loo-2025
Mr. Ames#c7,Mr. Ames,Ms. Bockus,0.6386,loo-2025
Mr. Ames#c8,Mr. Ames,Mr. Ames,0.697,loo-2025
Mr. Ames#c9,Mr. Ames,Mr. Monahan,0.6859,loo-2025
Mr. Austin#c0,Mr. Austin,Mr. Savoie,0.6448,loo-2025
Mr. Austin#c1,Mr. Austin,Mr. Austin,0.6897,loo-2025
Mr. Austin#c2,Mr. Austin,Mr. Austin,0.7092,loo-2025
Mr. Austin#c3,Mr. Austin,Mr. Ames,0.6383,loo-2025
Mr. Austin#c4,Mr. Austin,Mr. Austin,0.6531,loo-2025
Mr. Austin#c5,Mr. Austin,Mr. Austin,0.7201,loo-2025
Mr. Austin#c6,Mr. Austin,Mr. Austin,0.7168,loo-2025
Mr. Austin#c7,Mr. Austin,Mr. Austin,0.6472,loo-2025
Mr. Austin#c8,Mr. Austin,Mr. Austin,0.6225,loo-2025
Mr. Austin#c9,Mr. Austin,Mr. Savoie,0.6184,loo-2025
Mr. Austin#c10,Mr. Austin,Mr. Austin,0.6937,loo-2025
Mr. Austin#c11,Mr. Austin,Mr. Austin,0.6962,loo-2025
Mr. Austin#c12,Mr. Austin,Mr. Austin,0.7313,loo-2025
Mr. Austin#c13,Mr. Austin,Mr. Austin,0.7541,loo-2025
Mr. Austin#c14,Mr. Austin,Mr. Austin,0.7661,loo-2025
Mr. Austin#c15,Mr. Austin,Mr. Austin,0.7931,loo-2025
Mr. Austin#c16,Mr. Austin,Mr. Austin,0.7645,loo-2025
Mr. Austin#c17,Mr. Austin,Mr. Austin,0.6257,loo-2025
Mr. Austin#c18,Mr. Austin,Mr. Austin,0.7123,loo-2025
Mr. Austin#c19,Mr. Austin,Mr. Austin,0.6221,loo-2025
Mr. Austin#c20,Mr. Austin,Mr. Coon,0.6656,loo-2025
Mr. Austin#c21,Mr. Austin,Mr. Austin,0.6374,loo-2025
Mr. Austin#c22,Mr. Austin,Mr. Austin,0.7268,loo-2025
Mr. Austin#c23,Mr. Austin,Mr. Austin,0.7357,loo-2025
Mr. Austin#c24,Mr. Austin,Mr. Austin,0.6668,loo-2025
Mr. Austin#c25,Mr. Austin,Mr. Austin,0.8475,loo-2025
Mr. Austin#c26,Mr. Austin,Mr. Austin,0.8101,loo-2025
Mr. Austin#c27,Mr. Austin,Mr. Austin,0.7599,loo-2025
Mr. Austin#c28,Mr. Austin,Mr. Austin,0.6621,loo-2025
Mr. Austin#c29,Mr. Austin,Ms. M. Wilson,0.6595,loo-2025
Mr. Austin#c30,Mr. Austin,Mr. Monahan,0.7166,loo-2025
Mr. Austin#c31,Mr. Austin,Mr. Coon,0.6904,loo-2025
Mr. Austin#c32,Mr. Austin,Mr. Austin,0.707,loo-2025
Mr. Austin#c33,Mr. Austin,Mr. Austin,0.6974,loo-2025
Mr. Austin#c34,Mr. Austin,Mr. Austin,0.7617,loo-2025
Mr. Austin#c35,Mr. Austin,Mr. Austin,0.6544,loo-2025
Mr. Austin#c36,Mr. Austin,Ms. Bockus,0.6392,loo-2025
Mr. Austin#c37,Mr. Austin,Mr. Austin,0.7136,loo-2025
Mr. Austin#c38,Mr. Austin,Mr. Austin,0.7907,loo-2025
Mr. Bourque#c0,Mr. Bourque,Mr. Bourque,0.6191,loo-2025
Mr. Bourque#c1,Mr. Bourque,Mr. Bourque,0.8219,loo-2025
Mr. Bourque#c2,Mr. Bourque,Mr. Bourque,0.7667,loo-2025
Mr. Bourque#c3,Mr. Bourque,Mr. Bourque,0.6897,loo-2025
Mr. Bourque#c4,Mr. Bourque,Mr. Bourque,0.6695,loo-2025
Mr. Bourque#c5,Mr. Bourque,Mr. Bourque,0.7888,loo-2025
Mr. Bourque#c6,Mr. Bourque,Hon. Ms. Holt,0.6979,loo-2025
Mr. Bourque#c7,Mr. Bourque,Mr. Johnston,0.608,loo-2025
