id,chamber,stratum,seg_id,date,n_words,pangram,prior,version
ch038,Dail Eireann,ctl,IE2021-03-11#t110w0,2021-03-11,203,Human,Human,4.0-web
ch039,Dail Eireann,ctl,IE2021-04-21#t233w5,2021-04-21,360,Human,Human,4.0-web
ch040,Dail Eireann,ctl,IE2021-06-22#t212w0,2021-06-22,148,Human,Human,4.0-web
ch041,Dail Eireann,ctl,IE2021-06-24#t139w0,2021-06-24,187,Human,Human,4.0-web
ch042,Dail Eireann,ctl,IE2021-06-24#t229w2,2021-06-24,165,Human,Human,4.0-web
ch043,Dail Eireann,ctl,IE2021-06-30#t153w0,2021-06-30,227,Human,Human,4.0-web
ch044,Dail Eireann,ctl,IE2021-07-01#t220w3,2021-07-01,338,Human,Human,4.0-web
ch045,Dail Eireann,ctl,IE2021-07-02#t52w2,2021-07-02,297,Human,Human,4.0-web
ch046,Dail Eireann,ctl,IE2021-11-23#t171w1,2021-11-23,163,Human,Human,4.0-web
ch047,Dail Eireann,ctl,IE2021-12-03#t225w1,2021-12-03,260,Human,Human,4.0-web
ch048,Dail Eireann,ctl,IE2021-12-07#t32w0,2021-12-07,327,Human,Human,4.0-web
ch049,Dail Eireann,ctl,IE2022-01-26#t294w2,2022-01-26,164,Human,Human,4.0-web
ch050,Dail Eireann,ctl,IE2022-02-09#t255w2,2022-02-09,317,Human,Human,4.0-web
ch051,Dail Eireann,ctl,IE2022-03-08#t201w0,2022-03-08,323,Human,Human,4.0-web
ch052,Dail Eireann,ctl,IE2022-03-23#t22w1,2022-03-23,220,Human,Human,4.0-web
ch053,Dail Eireann,ctl,IE2022-05-05#t272w2,2022-05-05,167,Human,Human,4.0-web
ch054,Dail Eireann,ctl,IE2022-06-01#t223w1,2022-06-01,188,Human,Human,4.0-web
ch055,Dail Eireann,ctl,IE2022-09-21#t180w3,2022-09-21,220,Human,Human,4.0-web
ch056,Dail Eireann,ctl,IE2022-09-21#t211w0,2022-09-21,237,Human,Human,4.0-web
ch057,Dail Eireann,ctl,IE2022-09-22#t271w0,2022-09-22,140,Human,Human,4.0-web
ch058,Dail Eireann,ctl,IE2022-10-27#t266w1,2022-10-27,243,Human,Human,4.0-web
ch059,Dail Eireann,ctl,IE2022-11-17#t29w0,2022-11-17,227,Human,Human,4.0-web
ch060,Dail Eireann,prev,IE2025-02-05#t107w0,2025-02-05,158,Human,Human,4.0-web
ch061,Dail Eireann,prev,IE2025-02-12#t246w0,2025-02-12,150,Human,Human,4.0-web
ch062,Dail Eireann,prev,IE2025-02-19#t56w3,2025-02-19,190,Human,Human,4.0-web
ch063,Dail Eireann,prev,IE2025-02-20#t157w0,2025-02-20,162,Human,Human,4.0-web
ch064,Dail Eireann,prev,IE2025-02-20#t158w0,2025-02-20,262,Human,Human,4.0-web
ch065,Dail Eireann,prev,IE2025-02-25#t223w1,2025-02-25,318,Human,Human,4.0-web
ch066,Dail Eireann,prev,IE2025-02-26#t296w0,2025-02-26,211,Human,Human,4.0-web
ch067,Dail Eireann,prev,IE2025-03-19#t0w0,2025-03-19,334,Human,Human,4.0-web
ch068,Dail Eireann,prev,IE2025-03-25#t2w0,2025-03-25,217,Human,Human,4.0-web
ch069,Dail Eireann,prev,IE2025-03-27#t217w0,2025-03-27,136,Human,Human,4.0-web
ch070,Dail Eireann,prev,IE2025-03-27#t35w0,2025-03-27,315,Human,Human,4.0-web
ch071,Dail Eireann,prev,IE2025-04-01#t291w0,2025-04-01,286,Human,Human,4.0-web
ch072,Dail Eireann,prev,IE2025-04-01#t562w1,2025-04-01,162,Human,Human,4.0-web
ch073,Dail Eireann,prev,IE2025-04-02#t51w0,2025-04-02,354,Human,Human,4.0-web
ch074,Dail Eireann,prev,IE2025-04-08#t96w0,2025-04-08,156,Human,Human,4.0-web
ch075,Dail Eireann,prev,IE2025-04-30#t48w1,2025-04-30,180,Human,Human,4.0-web
ch076,Dail Eireann,prev,IE2025-05-07#t26w0,2025-05-07,345,Human,Human,4.0-web
ch077,Dail Eireann,prev,IE2025-05-14#t281w0,2025-05-14,354,Human,Human,4.0-web
ch078,Dail Eireann,prev,IE2025-05-15#t169w0,2025-05-15,182,Human,Human,4.0-web
ch079,Dail Eireann,prev,IE2025-05-20#t389w1,2025-05-20,205,Mixed,Mixed,4.0-web
ch080,Dail Eireann,prev,IE2025-05-21#t24w0,2025-05-21,293,Human,Human,4.0-web
ch081,Dail Eireann,prev,IE2025-05-21#t298w1,2025-05-21,215,Human,Human,4.0-web
ch082,Dail Eireann,prev,IE2025-05-22#t100w0,2025-05-22,258,Human,Human,4.0-web
ch083,Dail Eireann,prev,IE2025-05-22#t24w1,2025-05-22,207,Human,Human,4.0-web
ch084,Dail Eireann,prev,IE2025-05-29#t417w1,2025-05-29,258,Human,Human,4.0-web
ch085,Dail Eireann,prev,IE2025-05-29#t433w0,2025-05-29,255,Human,Human,4.0-web
ch086,Dail Eireann,prev,IE2025-06-17#t49w0,2025-06-17,202,Human,Human,4.0-web
ch087,Dail Eireann,prev,IE2025-06-18#t383w0,2025-06-18,184,Human,Human,4.0-web
ch088,Dail Eireann,prev,IE2025-06-24#t198w0,2025-06-24,235,Human,Human,4.0-web
ch089,Dail Eireann,prev,IE2025-06-26#t325w0,2025-06-26,340,Human,Human,4.0-web
ch090,Dail Eireann,prev,IE2025-06-26#t327w1,2025-06-26,263,Human,Human,4.0-web
ch091,Dail Eireann,prev,IE2025-06-26#t62w0,2025-06-26,148,Human,Human,4.0-web
ch092,Dail Eireann,prev,IE2025-06-26#t82w0,2025-06-26,244,Human,Human,4.0-web
ch093,Dail Eireann,prev,IE2025-07-01#t229w0,2025-07-01,263,Human,Human,4.0-web
ch094,Dail Eireann,prev,IE2025-07-08#t136w0,2025-07-08,201,Human,Human,4.0-web
ch095,Dail Eireann,prev,IE2025-07-10#t104w0,2025-07-10,144,Human,Human,4.0-web
ch096,Dail Eireann,prev,IE2025-07-10#t67w0,2025-07-10,164,Human,Human,4.0-web
ch097,Dail Eireann,prev,IE2025-07-15#t618w0,2025-07-15,176,Human,Human,4.0-web
ch098,Dail Eireann,prev,IE2025-07-16#t28w1,2025-07-16,288,Human,Human,4.0-web
ch099,Dail Eireann,prev,IE2025-07-17#t295w0,2025-07-17,187,Human,Human,4.0-web
ch100,Dail Eireann,prev,IE2025-09-18#t283w4,2025-09-18,233,Mixed,Mixed,4.0-web
ch101,Dail Eireann,prev,IE2025-09-23#t100w0,2025-09-23,320,Mixed,Mixed,4.0-web
ch102,Dail Eireann,prev,IE2025-09-24#t18w0,2025-09-24,330,Human,Human,4.0-web
