seg_id,date,speaker,n_words,orig_frac,p_ai
2025-10-22#t82w0,2025-10-22,M. Coon,293,0.986,0.000275
2025-10-22#t83w0,2025-10-22,Hon. C. Johnson,141,0.39,0.000207
2025-10-22#t84w0,2025-10-22,Mr. Lee,163,1.0,0.000233
2025-10-22#t85w0,2025-10-22,Ms. Mitton,188,0.782,0.029168
2025-10-22#t86w0,2025-10-22,Hon. Mr. Randall,252,0.984,0.000254
2025-10-22#t87w0,2025-10-22,Ms. M. Wilson,191,1.0,0.000179
2025-10-22#t88w0,2025-10-22,Ms. Mitton,343,0.825,0.000186
2025-10-22#t89w0,2025-10-22,Ms. Scott-Wallace,207,1.0,0.42149
2025-10-22#t90w0,2025-10-22,Ms. Mitton,187,0.663,0.003474
2025-10-22#t91w0,2025-10-22,Hon. Mr. LePage,237,0.401,0.000203
2025-10-22#t92w0,2025-10-22,Ms. S. Wilson,200,1.0,0.080382
2025-10-22#t93w0,2025-10-22,Ms. Mitton,250,0.984,0.999633
2025-10-22#t94w0,2025-10-22,Hon. Mr. Hickey,281,0.829,0.000339
2025-10-22#t95w0,2025-10-22,Ms. Conroy,253,1.0,0.000177
2025-10-22#t97w0,2025-10-22,Mr. Coon,298,0.987,0.000183
2025-10-22#t98w0,2025-10-22,Ms. Mitton,290,0.931,0.000313
2025-10-22#t100w0,2025-10-22,Madam Speaker,186,0.86,0.001788
2025-10-22#t101w0,2025-10-22,Hon. Mr. Legacy,284,0.782,0.00017
2025-10-22#t101w1,2025-10-22,Hon. Mr. Legacy,345,0.988,0.000189
2025-10-22#t101w2,2025-10-22,Hon. Mr. Legacy,326,1.0,0.000287
2025-10-22#t101w3,2025-10-22,Hon. Mr. Legacy,359,0.708,0.000199
2025-10-22#t101w4,2025-10-22,Hon. Mr. Legacy,315,1.0,0.000219
2025-10-22#t101w5,2025-10-22,Hon. Mr. Legacy,348,1.0,0.000242
2025-10-22#t101w6,2025-10-22,Hon. Mr. Legacy,333,1.0,0.000216
