seg_id,date,speaker,n_words,orig_frac,n_tok,logppl,fastdetect_d,lrr
2025-10-22#t72w0,2025-10-22,Mr. Savoie,124,1.0,141,2.32886,0.68206,2.00676
2025-10-22#t73w0,2025-10-22,Hon. C. Johnson,119,1.0,141,3.06101,-1.55744,1.97724
2025-10-22#t74w0,2025-10-22,Mr. Savoie,145,1.0,170,2.38975,-0.47091,2.1595
2025-10-22#t75w0,2025-10-22,Hon. Ms. Holt,195,0.769,221,2.55602,-0.16078,2.05901
2025-10-22#t78w0,2025-10-22,Mr. Johnston,109,0.881,149,2.76823,-0.45921,1.96741
2025-10-22#t80w0,2025-10-22,Hon. Mr. Dornan,231,0.701,280,2.14257,1.4787,2.18373
2025-10-22#t81w0,2025-10-22,Mr. Savoie,291,1.0,350,2.30875,2.20226,2.09267
2025-10-22#t81w1,2025-10-22,Mr. Savoie,87,1.0,99,3.67493,0.21285,1.9017
2025-10-22#t82w0,2025-10-22,M. Coon,293,0.986,348,2.37005,0.49727,2.08888
2025-10-22#t83w0,2025-10-22,Hon. C. Johnson,141,0.39,168,2.23823,0.64042,2.22641
2025-10-22#t84w0,2025-10-22,Mr. Lee,163,1.0,194,2.55034,0.51723,2.02673
2025-10-22#t85w0,2025-10-22,Ms. Mitton,188,0.782,221,2.69021,0.09362,2.02758
2025-10-22#t86w0,2025-10-22,Hon. Mr. Randall,252,0.984,305,1.90505,0.7539,2.16181
2025-10-22#t87w0,2025-10-22,Ms. M. Wilson,191,1.0,248,2.18786,0.13954,2.05571
2025-10-22#t88w0,2025-10-22,Ms. Mitton,343,0.825,413,2.56436,-1.29943,2.01034
2025-10-22#t89w0,2025-10-22,Ms. Scott-Wallace,207,1.0,243,2.46473,1.03279,2.10535
2025-10-22#t90w0,2025-10-22,Ms. Mitton,187,0.663,230,2.27003,0.30187,2.15536
2025-10-22#t91w0,2025-10-22,Hon. Mr. LePage,237,0.401,292,2.52784,-0.90697,2.05552
2025-10-22#t92w0,2025-10-22,Ms. S. Wilson,200,1.0,253,2.2766,1.2506,2.06037
2025-10-22#t93w0,2025-10-22,Ms. Mitton,250,0.984,313,1.74592,2.0368,2.24998
2025-10-22#t94w0,2025-10-22,Hon. Mr. Hickey,281,0.829,332,2.76394,-1.22105,2.01215
2025-10-22#t95w0,2025-10-22,Ms. Conroy,253,1.0,304,2.3606,0.14703,2.17641
2025-10-22#t97w0,2025-10-22,Mr. Coon,298,0.987,363,2.52697,-1.35622,2.11614
2025-10-22#t98w0,2025-10-22,Ms. Mitton,290,0.931,366,2.67574,-0.06119,1.97923
2025-10-22#t100w0,2025-10-22,Madam Speaker,186,0.86,244,2.2096,0.14351,2.03406
2025-10-22#t101w0,2025-10-22,Hon. Mr. Legacy,284,0.782,373,2.13471,-1.23718,1.99074
2025-10-22#t101w1,2025-10-22,Hon. Mr. Legacy,345,0.988,428,2.50689,-0.64085,2.09365
2025-10-22#t101w2,2025-10-22,Hon. Mr. Legacy,326,1.0,407,2.26584,-1.03768,2.06763
2025-10-22#t101w3,2025-10-22,Hon. Mr. Legacy,359,0.708,487,2.18421,1.12964,2.05831
2025-10-22#t101w4,2025-10-22,Hon. Mr. Legacy,315,1.0,411,2.46317,-0.22884,2.04884
2025-10-22#t101w5,2025-10-22,Hon. Mr. Legacy,348,1.0,442,2.38771,-1.03088,2.00483
2025-10-22#t101w6,2025-10-22,Hon. Mr. Legacy,333,1.0,424,2.62368,-1.25521,1.95286
2025-10-22#t101w7,2025-10-22,Hon. Mr. Legacy,346,1.0,458,2.32433,0.2079,2.02279
2025-10-22#t101w8,2025-10-22,Hon. Mr. Legacy,357,1.0,449,2.26281,-1.3694,2.11261
2025-10-22#t102w0,2025-10-22,Mr. M. LeBlanc,283,0.636,359,2.22414,0.72945,2.07375
2025-10-22#t102w1,2025-10-22,Mr. M. LeBlanc,343,1.0,387,2.28443,2.80331,2.15051
2025-10-22#t102w2,2025-10-22,Mr. M. LeBlanc,322,0.311,373,2.42738,0.5488,2.0835
2025-10-22#t102w3,2025-10-22,Mr. M. LeBlanc,335,0.531,386,2.32828,2.10963,2.22823
2025-10-22#t102w4,2025-10-22,Mr. M. LeBlanc,264,1.0,318,2.5616,-0.55161,2.05147
2025-10-22#t102w5,2025-10-22,Mr. M. LeBlanc,357,0.734,456,2.71652,0.75147,2.00333
2025-10-22#t102w6,2025-10-22,Mr. M. LeBlanc,348,1.0,455,2.75569,-0.60552,2.00997
2025-10-22#t102w7,2025-10-22,Mr. M. LeBlanc,348,1.0,490,2.41191,0.16194,2.11064
2025-10-22#t102w8,2025-10-22,Mr. M. LeBlanc,360,0.339,445,2.83276,-1.20411,1.96051
2025-10-22#t102w9,2025-10-22,Mr. M. LeBlanc,326,0.54,388,2.93349,0.26681,1.97267
2025-10-22#t102w10,2025-10-22,Mr. M. LeBlanc,348,0.546,430,3.06671,-0.34831,1.93467
2025-10-22#t102w11,2025-10-22,Mr. M. LeBlanc,333,0.859,422,2.8025,-0.5725,2.00515
2025-10-22#t102w12,2025-10-22,Mr. M. LeBlanc,324,0.0,370,2.73589,1.17108,1.97748
2025-10-22#t102w13,2025-10-22,Mr. M. LeBlanc,259,1.0,296,2.65812,0.54786,2.02605
2025-10-22#t102w14,2025-10-22,Mr. M. LeBlanc,355,0.645,407,2.66465,1.42031,2.04263
2025-10-22#t102w15,2025-10-22,Mr. M. LeBlanc,327,0.63,369,2.99413,-1.16036,1.92631
2025-10-22#t102w16,2025-10-22,Mr. M. LeBlanc,311,0.685,358,2.64829,0.98483,2.04796
2025-10-22#t102w17,2025-10-22,Mr. M. LeBlanc,335,0.734,383,2.56955,0.69592,2.07624
2025-10-22#t102w18,2025-10-22,Mr. M. LeBlanc,298,1.0,362,2.75476,0.05326,1.9793
2025-10-23#t104w0,2025-10-23,Madam Speaker,100,0.77,136,1.92159,1.46284,2.21921
2025-10-24#t105w0,2025-10-24,Mr. Monahan,62,1.0,82,2.55371,0.02213,2.07697
2025-10-24#t106w0,2025-10-24,Madam Speaker,177,0.548,231,2.24403,0.53234,1.9381
2025-10-24#t107w0,2025-10-24,Mr. Robichaud,167,0.0,225,1.94547,1.04131,2.18114
2025-10-24#t108w0,2025-10-24,Mr. Ames,239,1.0,303,2.16869,1.77032,2.12727
2025-10-24#t109w0,2025-10-24,Mr. Monahan,172,1.0,225,2.21448,1.46365,2.04126
2025-10-24#t110w0,2025-10-24,Ms. M. Wilson,160,1.0,202,2.41894,0.06031,2.05567
2025-10-24#t111w0,2025-10-24,Hon. Ms. Boudreau,222,0.054,278,2.40041,0.46152,2.03413
2025-10-24#t112w0,2025-10-24,Ms. S. Wilson,156,1.0,200,2.17725,1.3778,2.03
2025-10-24#t113w0,2025-10-24,Mr. Coon,176,0.869,228,3.28021,-2.0419,1.80525
2025-10-24#t114w0,2025-10-24,Hon. Mr. D’Amours,157,0.0,221,2.67864,0.01356,2.01042
2025-10-24#t115w0,2025-10-24,Ms. Mitton,177,1.0,228,2.08575,1.07946,2.15818
2025-10-24#t116w0,2025-10-24,Mr. M. LeBlanc,176,0.0,248,2.49116,0.13166,2.00448
2025-10-24#t117w0,2025-10-24,Ms. M. Wilson,137,1.0,167,2.77562,-0.08147,1.94637
2025-10-24#t118w0,2025-10-24,Ms. Mitton,142,1.0,192,2.38186,-1.18865,2.12612
2025-10-24#t119w0,2025-10-24,Mr. Johnston,160,1.0,194,2.07354,1.31925,2.14873
2025-10-24#t120w0,2025-10-24,Mr. Monahan,126,1.0,152,2.64582,-0.1152,2.04487
2025-10-24#t121w0,2025-10-24,Ms. Vautour,149,0.0,176,2.54099,0.72584,2.04398
2025-10-24#t122w0,2025-10-24,Mr. Ames,141,1.0,179,2.64765,0.44977,1.90252
2025-10-24#t123w0,2025-10-24,Mr. J. LeBlanc,124,0.403,155,2.4299,-1.67263,2.09148
2025-10-24#t124w0,2025-10-24,Ms. M. Johnson,126,1.0,153,2.75952,0.2151,2.10854
2025-10-24#t125w0,2025-10-24,Mr. Robichaud,119,0.412,148,2.40247,-0.87876,2.03289
2025-10-24#t126w0,2025-10-24,Mr. Lee,123,1.0,152,2.91175,0.01845,2.04063
2025-10-24#t127w0,2025-10-24,Mr. Savoie,79,0.899,107,2.59916,0.11389,2.01772
2025-10-24#t128w0,2025-10-24,Hon. Ms. Holt,166,0.964,201,2.46686,0.3497,2.03557
2025-10-24#t129w0,2025-10-24,Mr. Savoie,180,1.0,219,2.79581,-0.55443,1.97978
2025-10-24#t130w0,2025-10-24,Hon. Ms. Holt,145,0.131,175,2.90903,-0.13955,1.984
2025-10-24#t131w0,2025-10-24,Mr. Savoie,77,1.0,100,2.92948,-0.55891,2.03312
2025-10-24#t132w0,2025-10-24,Hon. Ms. Holt,133,1.0,172,2.75715,-0.42659,2.00112
